pergunta,resposta,data
Como as vacinas de mRNA Covid-19 (como as vacinas Pfizer / BioNTech e Moderna Covid-19) funcionam?,"Duas vacinas de RNA mensageiro (mRNA) estão atualmente disponíveis nos Estados Unidos, uma desenvolvida pela Pfizer / BioNTech (BNT162b2) e a outra pela Moderna (mRNA-1273). Nessas vacinas, o mRNA carrega instruções para fazer a proteína spike SARS-CoV-2 - as projeções espinhosas na superfície do vírus, que são estruturadas como aquelas bolas de borracha que os cães adoram perseguir ou como os espinhos de um porco-espinho. Assim que a vacina é injetada, o mRNA é captado pelos macrófagos próximos ao local da injeção e instrui essas células a produzirem a proteína do pico. A proteína spike então aparece na superfície dos macrófagos, induzindo uma resposta imunológica que imita a maneira como combatemos as infecções e nos protege da infecção natural com o SARS-CoV-2. Enzimas no corpo então degradam e eliminam o mRNA. Nenhum vírus vivo está envolvido e nenhum material genético entra no núcleo das células. Embora essas sejam as primeiras vacinas de mRNA a serem amplamente testadas e usadas na prática clínica, os cientistas vêm trabalhando em vacinas de mRNA há anos. E apesar desta maravilhosa peça de paródia dizendo que a tecnologia é óbvia, na verdade o insight inovador que colocou o mRNA dentro de um revestimento lipídico para evitar que ele se degradasse é bastante brilhante e sim, esta pode ser a primeira vez que o New England Journal of Medicine fez referência a um artigo do Jornal Norte Americano The Onion.","(Última revisão / atualização em 27 de abril de 2021)"
Como as vacinas de adenovírus Covid-19 (como a vacina Johnson & Johnson) funcionam?,"A vacina J&J é um vetor de adenovírus humano incompetente para replicação recombinante, que codifica um antígeno de proteína de pico SARS-CoV-2 estabilizado de comprimento total. Recombinante pode ser entendido como geneticamente modificado em um laboratório. Incompetente para replicação, ou que não pode se reproduzir em humanos. Sem risco de disseminação viral. Serótipo 26 de adenovírus. Existem muitos serótipos de adenovírus na comunidade. Este é incomum, o que é importante porque a imunidade preexistente a um adenovírus pode diminuir nossa resposta à vacina. O nome da vacina J&J refere-se a este sorotipo (Ad26) e ao antígeno que carrega - Ad26.COV2.S. Codificação do vetor - o vírus atua como um transportador (vetor) do gene, o DNA, que codifica o antígeno, que é um Antígeno de proteína spike SARS-CoV-2 estabilizado de comprimento total - os pesquisadores pegaram a maquinaria genética, ou DNA, do SARS-CoV-2 que faz o antígeno spike inteiro e o tornou estável o suficiente para ser transportado dentro do adenovírus. Quando a vacina é injetada, o adenovírus não consegue se replicar, mas seu material genético pode entrar no núcleo da célula hospedeira e ser convertido em RNA mensageiro. O mRNA então cria antígenos de proteína de pico de SARS-CoV-2, que induzem uma resposta do hospedeiro semelhante à infecção natural com o vírus que causa Covid-19. Tanto o anticorpo quanto a imunidade celular são estimulados. Observe que existem outras vacinas de vetor de adenovírus em uso globalmente que carregam o DNA da proteína spike SARS-CoV-2. Nenhum deles ainda está disponível aqui nos Estados Unidos e ambos usam duas doses como estratégia de vacina. A vacina Oxford, AstraZeneca, usa um adenovírus de chimpanzé modificado para não se replicar em humanos. A vacina Sputnik V começa com o mesmo adenovírus Ad26 da vacina J&J, mas depois muda para o adenovírus do sorotipo 5 para a segunda dose. Essa mudança teoricamente melhora o efeito de reforço desta vacina, pois reduz a chance de que a imunidade adquirida ao Ad26 diminua a resposta imunológica.","(Última revisão / atualização em 27 de abril de 2021)"
O que sabemos sobre a eficácia das vacinas de mRNA?,"Ambas as vacinas de mRNA são notavelmente eficazes. Em grandes ensaios clínicos que envolveram dezenas de milhares de pessoas, as vacinas reduziram a chance de desenvolver Covid-19 em cerca de 95% em comparação com as injeções de placebo. Conforme resumido com bastante precisão neste desenho animado do XKCD. , às vezes os dados são tão fortes que nem precisamos fazer uma análise estatística - foi o que aconteceu com esses dois ensaios clínicos. Os resultados foram muito bons. Embora consideremos os dados de ensaios clínicos randomizados e controlados por placebo como a forma mais forte de evidência clínica, detalhes adicionais tornam os resultados ainda mais convincentes. As vacinas preveniram não apenas qualquer doença devido ao SARS-CoV-2, mas - muito importante - doenças graves. A prevenção de doenças graves pode converter o Covid-19 da ameaça global que agora é em mais um incômodo, como um resfriado comum. Os estudos envolveram participantes que eram bastante representativos da população dos EUA - idade, sexo, raça e etnia, todos amplamente incluídos. Embora ambas as vacinas sejam administradas em duas doses, alguma proteção tornou-se aparente apenas 10 a 14 dias após a primeira dose. A eficácia observada após a primeira dose levantou questões sobre se devemos vacinar o dobro de pessoas com uma dose em vez de dar às pessoas o esquema completo de duas doses. . No entanto, os resultados de 95% da eficácia da vacina ocorrem após a segunda dose, o que aumenta a resposta imunológica e provavelmente a torna mais durável. Por enquanto, nos Estados Unidos, os Centros de Controle e Prevenção de Doenças (CDC) e a Food and Drug Administration (FDA) recomendam prosseguir com o esquema de duas doses sempre que possível. No geral, esses resultados impressionantes colocam as duas vacinas de mRNA no topo das nossas vacinas mais eficazes até hoje - mais como as vacinas contra o sarampo do que contra a gripe, pelo menos a curto prazo. A proteção é muito melhor do que qualquer um antecipou, e é por isso que muitos de nós, especialistas em doenças infecciosas, virologia, imunologia e saúde pública, ficamos totalmente tontos quando solicitados a discutir a eficácia das vacinas. Uma advertência importante aos resultados de eficácia favoráveis ??nos ensaios clínicos é que o desempenho das vacinas na prática clínica - a eficácia - pode ser diferente. A boa notícia dos primeiros estudos de base populacional é que essas vacinas também são bastante eficazes no que é comumente referido como configurações do mundo real. Por exemplo, no programa de vacinação em massa lançado em Israel com a vacina Pfizer, o Covid-19 sintomático foi reduzido em 94%. Além disso, a vacina funcionou bem quando administrada a residentes de lares de idosos. , uma população não incluída nos ensaios clínicos e de quem se espera que não responda tão bem à imunização devido à sua idade e às várias condições médicas subjacentes. Relatórios de várias instituições também mostram taxas reduzidas de Covid-19 entre os profissionais de saúde após a vacinação.","(Última revisão / atualização em 27 de abril de 2021)"
Como a vacina Johnson & Johnson foi estudada e quão eficaz foi?,"Os detalhes do ensaio clínico que levou à autorização de uso de emergência da vacina J&J estão no documento informativo do FDA. e no artigo publicado em 16 de abril de 2021. O estudo começou em setembro de 2020; aproximadamente 40.000 participantes foram inscritos na América do Norte (EUA e México), América Latina (vários países, com a maioria no Brasil) e África do Sul, e foram randomizados para receber uma injeção de Ad26.COV2.S ou placebo. O desfecho primário foi a ocorrência de Covid-19 moderado-grave com início em 14 e 28 dias após a vacinação, definido como um teste molecular positivo para SARS-CoV-2 e uma série de sintomas definidos pelo protocolo. O estudo também avaliou a soroconversão, mesmo para aqueles que não desenvolveram nenhuma doença sugestiva de Covid-19, como um marcador de infecção assintomática, bem como informações detalhadas sobre segurança e tolerabilidade. A eficácia geral da vacina foi de 66% -67% na redução da incidência de Covid-19 moderado-grave. De forma encorajadora, foi igualmente eficaz entre os menores e os maiores de 60 anos - embora, o que é importante, houvesse poucos participantes nas categorias de idade mais avançada, e aqueles com mais de 60 anos com comorbidades não pareciam ter um desempenho tão bom. Os resultados são mais impressionantes para a prevenção de doenças graves, hospitalização e morte. A vacina reduziu o risco de doença grave em 85% e reduziu o risco de hospitalização no dia 14 ou mais tarde em 93% e no dia 28 ou mais tarde em 100%; além disso, todas as sete mortes relacionadas a Covid-19 ocorreram no braço do placebo. Houve pequenas diferenças na eficácia por região, com a vacina mostrando 72% de eficácia na prevenção de doenças moderadas a graves na América do Norte, 66% na América Latina e 57% na África do Sul. Um ponto final muito interessante neste ensaio clínico (ainda) não relatado nos estudos Pfizer / BioNTech ou Moderna foi se a vacina preveniu a soroconversão assintomática. Presumivelmente, essas são pessoas que tiveram infecção com SARS-CoV-2 e nunca se sentiram mal o suficiente para relatar os sintomas aos seus locais de estudo. Um total de 18 infecções assintomáticas foram identificadas no grupo da vacina e 50 no grupo do placebo (eficácia da vacina, 65,5%; IC de 95%, 39,9 a 81,1). Uma vez que tem havido uma preocupação persistente de que a proteção da doença não é o mesmo que proteção contra a infecção - com implicações sobre o risco residual de transmissão - esses dados apoiam fortemente que a vacina também reduzirá o risco de transmissão.","(Última revisão / atualização em 3 de maio de 2021)"
Por que devemos dar uma vacina de adenovírus quando as vacinas de mRNA são mais eficazes?,"É natural que médicos e pacientes façam comparações entre estudos e observem que os resultados de eficácia do estudo da vacina J&J em geral são menores do que a eficácia de aproximadamente 95% observada nos estudos de vacina Pfizer / BioNTech e Moderna. Uma advertência importante para fazer essa conclusão definitivamente são os diferentes contextos em que os estudos foram conduzidos. O estudo J&J foi feito em um período de incidência muito maior do Covid-19, em diferentes países, e também após o surgimento de variantes que podem ser menos suscetíveis às vacinas de mRNA. Além disso, os dados sobre os pontos finais críticos de prevenção de doenças graves, hospitalização e morte parecem bastante sólidos, assim como os dados sobre a atividade contra as variantes. Inicialmente, durante o período de relativa escassez de vacinas, recomendamos que, em geral, as pessoas recebam qualquer vacina que lhes seja disponibilizada. No entanto, agora sabemos que a vacina J&J leva a um risco pequeno, mas elevado de trombose com síndrome de trombocitopenia. A população de maior risco são as mulheres mais jovens (com um risco estimado de 1 caso por 140.000 mulheres com menos de 50 anos vacinadas) e, portanto, as mulheres nesta faixa etária podem optar por receber uma vacina de mRNA. Não se sabe se isso se aplicará apenas à vacina J&J ou a todas as vacinas de adenovírus.","(Última revisão / atualização em 26 de abril de 2021)"
Quanto tempo as vacinas vão funcionar? São necessárias doses de reforço?,"Como as vacinas de mRNA foram testadas apenas desde o verão de 2020, não temos informações sobre a durabilidade da proteção. Os dados do ensaio de fase 1 da vacina Moderna sugeriram que os anticorpos neutralizantes persistiram por quase 4 meses. , com títulos diminuindo ligeiramente ao longo do tempo. Dada a ausência de informações sobre por quanto tempo as vacinas serão protetoras, atualmente não há recomendação específica para doses de reforço. No entanto, ambas as empresas estão desenvolvendo vacinas que podem ser administradas como reforços, e que também têm cobertura para variantes emergentes do SARS-CoV-2 menos suscetíveis à inibição da vacina. Tal como acontece com as vacinas de mRNA, a durabilidade da proteção da vacina Johnson & Johnson é desconhecida. Para a vacina Ad26.COV2.S em particular, esta é uma questão altamente relevante, uma vez que a estratégia no ensaio clínico era de apenas uma dose, e é assim que ela é administrada na autorização de uso de emergência inicial. Um ensaio clínico em andamento chamado COV3009 está testando atualmente esta mesma vacina com uma injeção de reforço administrada 8 semanas após a primeira, com resultados esperados ainda este ano.","(Última revisão / atualização em 27 de abril de 2021)"
As vacinas funcionam contra as variantes emergentes do SARS-CoV-2?,"Atualmente, há informações limitadas sobre a eficácia das vacinas de mRNA contra as variantes emergentes do SARS-CoV-2. Para a vacina Johnson & Johnson, o ensaio clínico da empresa mostrou aproximadamente a mesma eficácia em todas as regiões e países - incluindo África do Sul e Brasil. Especificamente, a vacina demonstrou eficácia de 72% nos Estados Unidos, 68% no Brasil e 64% na África do Sul, onde 95% dos casos foram a variante da linhagem B.1.351. Ambos os ensaios clínicos das vacinas de mRNA precederam a identificação das principais variantes atualmente presentes em todo o mundo. Estudos sugerem que as vacinas podem ser mais protetoras contra algumas das variantes do que outras. , portanto, nenhuma generalização ampla sobre a atividade da vacina contra variantes é possível. O CDC resumiu informações sobre as variantes em circulação. , e se cada um tem neutralização reduzida usando soros de convalescença e pós-vacinação. Uma limitação importante desses estudos é que a proteção conferida pela vacinação é mais complexa do que simplesmente medir as respostas dos anticorpos. Do ponto de vista prático, a descoberta dessas variantes não altera as recomendações básicas para a vacinação. Especificamente, não é recomendado que as pessoas esperem por uma vacina nova ou modificada na esperança de que ela seja mais eficaz contra as variantes emergentes do SARS-CoV-2. Tanto a Pfizer quanto a Moderna estão desenvolvendo modificações em suas vacinas existentes projetadas especificamente para uma atividade mais ampla contra cepas emergentes, mas não se sabe quando elas estarão disponíveis e como serão implantadas. Por fim, aprenderemos como essas vacinas funcionam contra as variantes por meio do sequenciamento molecular dos vírus de casos incidentes de Covid-19 que ocorrem após a vacinação. Esses casos devem ser notificados às secretarias estaduais de saúde; o CDC planeja coletar informações sobre eles, incluindo sequenciamento, se possível. Relatos de casos iniciais sugerem que tais descobertas podem ocorrer raramente. , mas ainda não temos informações suficientes para alterar as recomendações clínicas. Além disso, as informações sobre esses casos devem ser relatadas ao Sistema de Notificação de Eventos Adversos de Vacinas (VAERS).","(Última revisão / atualização em 3 de maio de 2021)"
As vacinas evitam a transmissão do vírus a outras pessoas?,"Evidências emergentes sugerem fortemente que os receptores da vacina são menos propensos a transmitir a infecção a outras pessoas. Em um grande estudo observacional conduzido em Israel, aqueles que foram vacinados tiveram uma redução de 90% no risco de infecção assintomática em comparação com aqueles não vacinados. Além disso, entre aqueles que fazem adquirir a infecção após a vacinação, parece que as cargas virais são mais baixos do que em pessoas infectadas que não foram imunizados. As cargas virais mais baixas provavelmente levam à redução do risco de transmissão. Além disso, após o dia 29 no estudo da vacina Johnson & Johnson, houve 18 soroconversões assintomáticas no grupo da vacina e 50 no braço do placebo - uma redução de 66%. É razoável supor que menos soroconversões assintomáticas signifiquem menos chances de transmissão. Esses dados encorajadores servem como um lembrete de que muitas vacinas amplamente utilizadas hoje protegem poderosamente contra doenças e transmissão - tanto que o controle da infecção é um dos principais motivadores por trás de algumas políticas de vacinas. É importante notar que, embora as vacinas reduzam o risco de transmissão, não podemos dizer que o eliminam - o efeito protetor nunca será de 100%. Como resultado, até que o número de casos diminua e uma proporção maior da população tenha recebido suas vacinas, devemos continuar a enfatizar aos nossos pacientes que a vacinação não nos permite interromper outras medidas importantes para prevenir a propagação do Covid-19. O uso de máscaras em espaços públicos internos, o distanciamento social e a prevenção de ambientes internos lotados continuam sendo estratégias importantes por enquanto.","(Última revisão / atualização em 3 de maio de 2021)"
O que sabemos sobre a segurança de curto prazo das vacinas de mRNA?,"Todas as vacinas disponíveis sob autorização de uso de emergência são bastante seguras - essa é a boa notícia e deve ser a mensagem dominante para nossos pacientes. De fato, desde seu lançamento no final de 2020 e após milhões e milhões de doses, nenhum padrão claro de eventos adversos sérios ou inesperados ocorreu. Isso é especialmente reconfortante, uma vez que a primeira onda de vacinações foi para muitas pessoas idosas e frágeis que poderiam estar em maior risco de efeitos colaterais. Mas nenhuma vacina (na verdade, nada na medicina) é 100% segura. Antes de discutir os efeitos colaterais, precisamos reconhecer que a segurança das vacinas Covid-19 estará em destaque por algum tempo - essas são novas vacinas para uma nova doença. Eventos raros aparecerão nas notícias, ampliando a atenção e a preocupação desproporcional ao risco real. Nossa tarefa será colocar esses eventos incomuns em perspectiva, ressaltando que esses riscos são muito menores do que o risco de adoecer com Covid-19. As vacinas de mRNA são classificadas como reatogênicas - o que significa que causarão alguns efeitos colaterais na maioria das pessoas que as receberem, refletindo a rápida resposta imunológica que geram. Na prática clínica, devemos colocar essas vacinas na mesma categoria de efeitos colaterais que a vacina do herpes recombinante (Shingrix), em vez da vacina anual contra a gripe. O efeito secundário mais comum é a dor no local da injeção, especialmente nas 12 a 24 horas após a administração. Cerca de 1% dos participantes nos ensaios classificaram a dor como intensa. Fadiga e dor de cabeça são outros efeitos colaterais relativamente comuns; febres altas são menos comuns. Esses efeitos colaterais geralmente desaparecem em alguns dias e respondem ao paracetamol ou a um antiinflamatório não esteroidal, como o ibuprofeno. Em geral, os efeitos colaterais são mais comuns em vacinados mais jovens do que nos mais velhos, com a segunda injeção induzindo mais efeitos colaterais do que a primeira. Algumas pessoas que recebem a vacina Moderna apresentam eritema, calor e prurido perto do local da injeção, ocorrendo de forma retardada. , normalmente 5 a 14 dias após a injeção. A adenopatia regional (especialmente axilar) também é possível. Os sintomas duram alguns dias e não são uma contra-indicação para receber a segunda injeção, e a maioria das pessoas não terá essa reação novamente. Alguns foram tratados com anti-histamínicos orais e esteróides tópicos. Nos ensaios clínicos da vacina de mRNA, a paralisia de Bell foi relatada com mais frequência em receptores de vacina do que em controles. Um estudo de acompanhamento combinando os dois ensaios clínicos. encontraram 7 casos em receptores de vacina vs. 1 em receptores de placebo (p = 0,07), com aproximadamente 35.000 pessoas em cada braço. Uma segunda revisão. não descobriram que a incidência de paralisia de Bell seja maior com as vacinas Covid-19 do que com outras vacinas usadas para prevenir infecções virais. Não houve casos de síndrome de Guillain-Barré ou mielite transversa nos ensaios clínicos. Embora a hipersensibilidade tenha ocorrido igualmente nos grupos de placebo e vacina em ambos os ensaios de mRNA, após a distribuição das vacinas no Reino Unido e nos Estados Unidos, surgiram relatos de receptores da vacina experimentando reações alérgicas graves (anafilaxia) logo após receber sua primeira dose. Devido a esses eventos raros, a administração das vacinas inclui um período de 15 minutos de observação após a vacinação - 30 minutos para aqueles com histórico de reações alérgicas graves de qualquer tipo. É extremamente importante enfatizar que essas reações alérgicas são incomuns - a estimativa atual é que a anafilaxia ocorrerá em aproximadamente 2 a 5 pessoas por milhão de vacinados. Embora essas taxas de reações alérgicas graves sejam mais altas do que aquelas com outras vacinas, elas são substancialmente mais baixas do que a taxa relatada com a penicilina, que é estimada em 1 em 10.000. Mas, uma vez que as alergias graves à penicilina não aparecem como notícias, nosso desafio será contextualizar esse risco. A primeira fase das pessoas imunizadas com essas vacinas incluía idosos - muitos deles com outros problemas médicos, ou em casas de repouso, ou ambos - e alguns receptores morreram após receber suas imunizações. Até 3 de maio de 2021, mais de 238 milhões de doses foram administradas, e cada morte que ocorre após a vacinação é revisada pelos médicos do CDC e da FDA, incluindo registros médicos, atestados de óbito e (quando disponíveis) relatórios de autópsia. Até agora, não houve nenhuma ligação identificada com a vacinação.","(Última revisão / atualização em 3 de maio de 2021)"
